date,app,score,ratings,reviews,installs,version,genre
2026-08-28,Little Farm Story: Idle Tycoon,4.2675276,217913,3085,"10,000,000+",1.19.0,Role Playing
2026-08-28,Township,4.691338,12855375,373496,"500,000,000+",Varies with device,Casual
2026-08-28,Klondike Adventures: Farm Game,4.5974092,1373408,56758,"100,000,000+",2.150.1,Simulation
2026-08-28,Bermuda Adventures Farm Island,4.4749737,324710,13037,"10,000,000+",1.19.0,Adventure
2026-08-28,Hay Day,4.365956,13105020,415318,"100,000,000+",1.72.86,Casual
2026-08-29,Little Farm Story: Idle Tycoon,4.272529,218564,3088,"10,000,000+",1.19.0,Role Playing
2026-08-29,Township,4.691224,12857335,373527,"500,000,000+",Varies with device,Casual
2026-08-29,Klondike Adventures: Farm Game,4.597128,1373429,56759,"100,000,000+",2.150.1,Simulation
2026-08-29,Bermuda Adventures Farm Island,4.4749737,324706,13037,"10,000,000+",1.19.0,Adventure
2026-08-29,Hay Day,4.3659606,13105377,415325,"100,000,000+",1.72.86,Casual
2026-08-30,Little Farm Story: Idle Tycoon,4.2762184,219144,3093,"10,000,000+",1.19.0,Role Playing
2026-08-30,Township,4.690848,12858970,373552,"500,000,000+",Varies with device,Casual
2026-08-30,Klondike Adventures: Farm Game,4.596752,1373421,56759,"100,000,000+",2.150.1,Simulation
2026-08-30,Bermuda Adventures Farm Island,4.475053,324710,13037,"10,000,000+",1.19.0,Adventure
2026-08-30,Hay Day,4.3661027,13105582,415331,"100,000,000+",1.72.86,Casual
2026-08-31,Little Farm Story: Idle Tycoon,4.2809525,219774,3098,"10,000,000+",1.19.0,Role Playing
2026-08-31,Township,4.690822,12860784,373583,"500,000,000+",Varies with device,Casual
2026-08-31,Klondike Adventures: Farm Game,4.5963454,1373441,56761,"100,000,000+",2.150.1,Simulation
2026-08-31,Bermuda Adventures Farm Island,4.475053,324715,13037,"10,000,000+",1.19.0,Adventure
2026-08-31,Hay Day,4.367043,13106025,415335,"100,000,000+",1.72.86,Casual
2026-09-01,Little Farm Story: Idle Tycoon,4.2779202,220436,3100,"10,000,000+",1.19.0,Role Playing
2026-09-01,Township,4.690799,12862671,373601,"500,000,000+",Varies with device,Casual
2026-09-01,Klondike Adventures: Farm Game,4.59596,1373460,56763,"100,000,000+",2.150.1,Simulation
2026-09-01,Bermuda Adventures Farm Island,4.4751325,324719,13037,"10,000,000+",1.19.0,Adventure
2026-09-01,Hay Day,4.3678966,13106409,415337,"100,000,000+",1.72.86,Casual
2026-09-02,Little Farm Story: Idle Tycoon,4.271763,220452,3102,"10,000,000+",1.19.0,Role Playing
2026-09-02,Township,4.6903725,12863394,373619,"500,000,000+",38.1.1,Casual
2026-09-02,Klondike Adventures: Farm Game,4.5957937,1373457,56766,"100,000,000+",2.150.1,Simulation
2026-09-02,Bermuda Adventures Farm Island,4.4751325,324717,13038,"10,000,000+",1.19.0,Adventure
2026-09-02,Hay Day,4.36796,13106717,415338,"100,000,000+",1.72.86,Casual
2026-09-03,Little Farm Story: Idle Tycoon,4.271898,220688,3103,"10,000,000+",1.19.0,Role Playing
2026-09-03,Township,4.6902757,12864640,373658,"500,000,000+",38.1.1,Casual
2026-09-03,Klondike Adventures: Farm Game,4.595586,1373484,56767,"100,000,000+",2.150.1,Simulation
2026-09-03,Bermuda Adventures Farm Island,4.4752116,324720,13038,"10,000,000+",1.19.0,Adventure
2026-09-03,Hay Day,4.3691077,13107056,415345,"100,000,000+",1.72.86,Casual
